
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/train
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/test_small
GPU dostępne: NVIDIA GeForce RTX 3090
Epoch 48, Train Loss: 0.015592819219455123, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.31726816419111753, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4222130166158252
Epoch 49, Train Loss: 0.015218704659491777, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.31497766867117616, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5136970496043525
Epoch 50, Train Loss: 0.01512476271018386, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.313581759497604, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4492819470901604
Epoch 51, Train Loss: 0.01513047143816948, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.31319080530549026, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.33102429811246425
Epoch 52, Train Loss: 0.014844623720273375, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.3120016081533861, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.38310526779580256
Epoch 53, Train Loss: 0.014523391053080559, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.3067186443696206, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4028407910315221
Epoch 54, Train Loss: 0.014555360795930028, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.3115335570815917, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4031078903661536
Epoch 55, Train Loss: 0.01437317724339664, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.3067932898840122, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.32656764668877253
Epoch 56, Train Loss: 0.014211589982733131, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.3102534333000627, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.44660586255882184
Epoch 57, Train Loss: 0.014098910987377167, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.3070765476541416, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5216085737071783
Epoch 58, Train Loss: 0.013912571594119072, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.3083484692195388, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.3874937729829789
Epoch 59, Train Loss: 0.013895205920562148, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.3052850290750083, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5300372639091571
Epoch 60, Train Loss: 0.013831952074542641, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.306676003556252, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.3491578330694977
Epoch 61, Train Loss: 0.013599045248702169, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.30354678626941806, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.39120137892164786
Epoch 62, Train Loss: 0.013542076526209711, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.30416667491541827, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4031868472448223
Epoch 63, Train Loss: 0.013220918364822865, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.29939898327938586, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.3983335951796562
Epoch 64, Train Loss: 0.013317992817610503, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.304122857642005, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5389866037753608
Epoch 65, Train Loss: 0.013208975596353412, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.3003445173170544, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.3930865398394212
Epoch 66, Train Loss: 0.013171035051345825, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.30123038958213855, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.3405172270904295
Epoch 67, Train Loss: 0.012969092885032295, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.29771734255917603, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.3747284149346376
Epoch 68, Train Loss: 0.012757853837683797, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.2960972451387541, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5077798343095101
Epoch 69, Train Loss: 0.013039317773655057, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.3022846702332112, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4157836269285942
Epoch 70, Train Loss: 0.012668242072686553, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.29459951477485397, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.3561154221985616
Epoch 71, Train Loss: 0.012680738139897585, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.29779266763533974, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.39013966217484874
Epoch 72, Train Loss: 0.012506358278915285, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.29486004643509534, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.41808602360423214
Epoch 73, Train Loss: 0.012573100812733173, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.29590436708494666, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.3615295013634758
Epoch 74, Train Loss: 0.01257070628926158, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.2975971453130666, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.41354897789015355
Epoch 75, Train Loss: 0.012251635501161217, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.29475544235052037, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.41713065503669583
Epoch 76, Train Loss: 0.012200414668768644, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.29147498072851596, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.3443148315267669
Epoch 77, Train Loss: 0.012329287081956863, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.2964798678235204, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.44708351260463663
Epoch 78, Train Loss: 0.01231086989864707, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.29396491316432194, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5178385848257443
Epoch 79, Train Loss: 0.011985678691416979, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.28859600188091916, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.44399818045861955
Epoch 80, Train Loss: 0.01204132167622447, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.2912027945588133, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4011221906261408
Epoch 81, Train Loss: 0.01186841013841331, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.28818325076779916, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.3596184577765545
Epoch 82, Train Loss: 0.01205379208549857, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.29174875981643994, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5034259990587817
Epoch 83, Train Loss: 0.011820240551605821, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.28803434073436157, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.37538380529319676
Epoch 84, Train Loss: 0.011684415163472295, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.2889305991567269, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.45343781459469173
Epoch 85, Train Loss: 0.01164855291135609, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.28410896682348874, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5212755638638786
Epoch 86, Train Loss: 0.011442364566028118, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.2823341800795114, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4120065060137269
Epoch 87, Train Loss: 0.01154150147922337, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.28598612727199885, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.3243649706087905
Epoch 88, Train Loss: 0.011550367763265967, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.2889035822477506, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.420475342970948
Epoch 89, Train Loss: 0.011539335874840618, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.28630455517350334, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.40468868217673565
Epoch 90, Train Loss: 0.011422335356473922, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.28356889787773687, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.45255240323741786
Epoch 91, Train Loss: 0.011296124197542667, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.28111406059040356, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4114791967637425
Epoch 92, Train Loss: 0.011195867322385311, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.2808836243443111, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4156250651652591
Epoch 93, Train Loss: 0.011097231414169073, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.27873039550756973, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.3573785338124643
Epoch 94, Train Loss: 0.011092431889846922, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.27750426094379055, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4871688142515499
Epoch 95, Train Loss: 0.011039358144626022, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.27656696652177104, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.41088469520622944
Epoch 96, Train Loss: 0.011062380950897932, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.27847077260670444, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.3284573328408649
Epoch 97, Train Loss: 0.010915320040658117, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.27547891935343644, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.3761468767558974
Epoch 98, Train Loss: 0.010829164832830428, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.2751309171038924, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4043493736437254
Epoch 99, Train Loss: 0.010948862321674824, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.28090974801697216, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4470277192767591
Epoch 100, Train Loss: 0.010811721766367554, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.27494314299937445, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.3981224789452821
Epoch 101, Train Loss: 0.010698391171172262, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.2713986058791066, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4514122174838253
Epoch 102, Train Loss: 0.01105302358046174, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.28433422703713684, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4087042046292175
Epoch 103, Train Loss: 0.010819969186559319, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.2769862255989068, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.41211317681780213
Epoch 104, Train Loss: 0.010670489585027098, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.27256565751076633, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.45076188536513623
Epoch 105, Train Loss: 0.010747326025739311, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.2742313962983907, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4531088013595402
Epoch 106, Train Loss: 0.010632512811571359, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.2761154919213702, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.3970172067801356
Epoch 107, Train Loss: 0.010447445511817931, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.269846718244266, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4073069960508857
