
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/train
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/test_small
GPU dostępne: NVIDIA GeForce RTX 3090
Epoch 99, Train Loss: 0.020206528902053832, Train Iou: 0.3649485256548217, Validation IOU: 0.3405903902211895
Epoch 100, Train Loss: 0.019955398980528116, Train Iou: 0.3641434710735828, Validation IOU: 0.382434281717187
Epoch 101, Train Loss: 0.019982082955539226, Train Iou: 0.3658055422784131, Validation IOU: 0.3683644217377879
Epoch 102, Train Loss: 0.019830098282545804, Train Iou: 0.3680487417119335, Validation IOU: 0.3485619036401255
Epoch 103, Train Loss: 0.01970550576224923, Train Iou: 0.3648545997781788, Validation IOU: 0.3895328019623896
Epoch 104, Train Loss: 0.01959082605317235, Train Iou: 0.3651259585215165, Validation IOU: 0.3907569165361217
Epoch 105, Train Loss: 0.019466821663081647, Train Iou: 0.3686849971634521, Validation IOU: 0.3832928097442344
Epoch 106, Train Loss: 0.019226657412946224, Train Iou: 0.3625649938403839, Validation IOU: 0.36650152167726047
Epoch 107, Train Loss: 0.019243625365197657, Train Iou: 0.36537592644947303, Validation IOU: 0.3988896645917483
Epoch 108, Train Loss: 0.018989977613091468, Train Iou: 0.3633677507036013, Validation IOU: 0.4387764611346115
Epoch 109, Train Loss: 0.018875610921531914, Train Iou: 0.35792005952149175, Validation IOU: 0.42342600743190606
Epoch 110, Train Loss: 0.019029678590595723, Train Iou: 0.365418822544513, Validation IOU: 0.3515045729530736
Epoch 111, Train Loss: 0.018822644464671613, Train Iou: 0.35965717783578105, Validation IOU: 0.46254399281225833
Epoch 112, Train Loss: 0.01854245588183403, Train Iou: 0.3543226670358533, Validation IOU: 0.4062302140628422
Epoch 113, Train Loss: 0.01851536286994815, Train Iou: 0.35865781797449203, Validation IOU: 0.38171544818919584
Epoch 114, Train Loss: 0.018498535640537737, Train Iou: 0.35997353218797606, Validation IOU: 0.38792079601249746
Epoch 115, Train Loss: 0.018205551151186227, Train Iou: 0.35780686474332896, Validation IOU: 0.3259211836080287
Model saved
Epoch 116, Train Loss: 0.017998655699193476, Train Iou: 0.3561631681491532, Validation IOU: 0.36869728828387655
Epoch 117, Train Loss: 0.01800625673495233, Train Iou: 0.35719966188472696, Validation IOU: 0.4067455087686036
Epoch 118, Train Loss: 0.018179924925789237, Train Iou: 0.35983688019016624, Validation IOU: 0.3599619127440271
Epoch 119, Train Loss: 0.01801682086661458, Train Iou: 0.3576929431158036, Validation IOU: 0.3457460309049984
Epoch 120, Train Loss: 0.018022456765174867, Train Iou: 0.3579324713144372, Validation IOU: 0.3967622450012661
Epoch 121, Train Loss: 0.017820550641044975, Train Iou: 0.3587367512044609, Validation IOU: 0.4121928880226752
Epoch 122, Train Loss: 0.017664703726768493, Train Iou: 0.35648049608888815, Validation IOU: 0.3830805250058679
Epoch 123, Train Loss: 0.017602802161127327, Train Iou: 0.35145497119066255, Validation IOU: 0.4057535802860738
Epoch 124, Train Loss: 0.017807777598500253, Train Iou: 0.3579567322564273, Validation IOU: 0.38716865423195784
Epoch 125, Train Loss: 0.01760850832797587, Train Iou: 0.36308293309224765, Validation IOU: 0.4284471039985639
Epoch 126, Train Loss: 0.017681649792939423, Train Iou: 0.36026078640277437, Validation IOU: 0.3531833839059916
Epoch 127, Train Loss: 0.017329507647082208, Train Iou: 0.3566771579273632, Validation IOU: 0.38527051317372984
Epoch 128, Train Loss: 0.017129965545609593, Train Iou: 0.34992298222387547, Validation IOU: 0.38582056316751356
Epoch 129, Train Loss: 0.016844485606998204, Train Iou: 0.34917023298898126, Validation IOU: 0.42497146081286685
Epoch 130, Train Loss: 0.01690844027325511, Train Iou: 0.35092238171675916, Validation IOU: 0.37245424052642834
Epoch 131, Train Loss: 0.017063889699056745, Train Iou: 0.351299273397725, Validation IOU: 0.32709628540763597
Epoch 132, Train Loss: 0.01729406011290848, Train Iou: 0.3612149133915758, Validation IOU: 0.36231898452264466
Epoch 133, Train Loss: 0.017039410956203937, Train Iou: 0.3550649171931606, Validation IOU: 0.3686187717177776
Epoch 134, Train Loss: 0.016895140474662184, Train Iou: 0.35547235210404915, Validation IOU: 0.3629895518233224
Epoch 135, Train Loss: 0.016735662799328567, Train Iou: 0.34917242010396954, Validation IOU: 0.34974354285922193
Epoch 136, Train Loss: 0.01650165067985654, Train Iou: 0.3478188751466032, Validation IOU: 0.43499289471360236
Epoch 137, Train Loss: 0.016625139443203808, Train Iou: 0.3498620373817901, Validation IOU: 0.45661428313072355
Epoch 138, Train Loss: 0.01663451036438346, Train Iou: 0.3529057257367172, Validation IOU: 0.37935522093642265
Epoch 139, Train Loss: 0.016336884675547482, Train Iou: 0.3448297523013535, Validation IOU: 0.3774764751810109
Epoch 140, Train Loss: 0.01621346278116107, Train Iou: 0.3491591591638092, Validation IOU: 0.3572391717172865
Epoch 141, Train Loss: 0.01606064010411501, Train Iou: 0.3455815110153698, Validation IOU: 0.400307327728366
Epoch 142, Train Loss: 0.0163111983332783, Train Iou: 0.3490256741917434, Validation IOU: 0.36287632877673454
Epoch 143, Train Loss: 0.01589630893431604, Train Iou: 0.3407005988219248, Validation IOU: 0.3955382867636279
Epoch 144, Train Loss: 0.015799287334084512, Train Iou: 0.3433855517618779, Validation IOU: 0.3779589265304669
Epoch 145, Train Loss: 0.01605165656656027, Train Iou: 0.3427838508520269, Validation IOU: 0.3956700616043533
Epoch 146, Train Loss: 0.016109607508406044, Train Iou: 0.35003532715331714, Validation IOU: 0.4331890261159634
Epoch 147, Train Loss: 0.015922101493924857, Train Iou: 0.34846297896723716, Validation IOU: 0.37759764496056464
Epoch 148, Train Loss: 0.01577491625212133, Train Iou: 0.34619739344045686, Validation IOU: 0.38486613635362293
Epoch 149, Train Loss: 0.01564399735070765, Train Iou: 0.34365141355520096, Validation IOU: 0.3247891473118937
Model saved
Epoch 150, Train Loss: 0.015579137858003378, Train Iou: 0.3440325006203975, Validation IOU: 0.4082066154041702
Epoch 151, Train Loss: 0.016028040554374456, Train Iou: 0.34783718512736306, Validation IOU: 0.43542059569805047
Epoch 152, Train Loss: 0.015689058415591716, Train Iou: 0.34425552213187477, Validation IOU: 0.3884312665337492
Epoch 153, Train Loss: 0.015356558095663785, Train Iou: 0.3360894540995522, Validation IOU: 0.35267426332137264
Epoch 154, Train Loss: 0.015195147460326552, Train Iou: 0.3405994316249495, Validation IOU: 0.35333949757970456
Epoch 155, Train Loss: 0.015217783395200968, Train Iou: 0.3374426245871244, Validation IOU: 0.39171890213539895
Epoch 156, Train Loss: 0.015272539714351297, Train Iou: 0.33885161236062195, Validation IOU: 0.3667884370914745
Epoch 157, Train Loss: 0.015206242026761175, Train Iou: 0.3390055741109091, Validation IOU: 0.34243297939529427
Epoch 158, Train Loss: 0.015221363445743919, Train Iou: 0.33874528586134184, Validation IOU: 0.32892402333071724
Epoch 159, Train Loss: 0.015059384470805525, Train Iou: 0.33534114666348247, Validation IOU: 0.39773517125201613
Epoch 160, Train Loss: 0.015274137165397406, Train Iou: 0.33955239516019686, Validation IOU: 0.38100866639736725
Epoch 161, Train Loss: 0.015095959790050984, Train Iou: 0.33789592056260986, Validation IOU: 0.37877547841761633
Epoch 162, Train Loss: 0.015254960022866726, Train Iou: 0.33963795823575327, Validation IOU: 0.4586933869776754
Epoch 163, Train Loss: 0.01533433822914958, Train Iou: 0.3399331586488457, Validation IOU: 0.47212827770835697
Epoch 164, Train Loss: 0.015022336691617965, Train Iou: 0.3365618619280178, Validation IOU: 0.35897292540182413
Epoch 165, Train Loss: 0.015058595640584826, Train Iou: 0.34041405794205437, Validation IOU: 0.373728466932576
Epoch 166, Train Loss: 0.014503499353304505, Train Iou: 0.3338960784660742, Validation IOU: 0.38902565658865734
