
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/train
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/test_small
GPU dostępne: NVIDIA GeForce RTX 3090
Epoch 59, Train Loss: 0.010787538345903158, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.12021588148917017, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.48584912629383914
Epoch 60, Train Loss: 0.010613736184313893, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.12292816291271788, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.601828962753103
Epoch 61, Train Loss: 0.010264662094414234, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.11871589226595229, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.658686477630329
Epoch 62, Train Loss: 0.009979900205507874, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.11490413008214903, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5490058794041117
Epoch 63, Train Loss: 0.009773905528709293, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.11425526532494841, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4540570220199326
Epoch 64, Train Loss: 0.00938795185647905, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.10626117990320474, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4822725703488787
Epoch 65, Train Loss: 0.009253757586702705, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.10791992121965015, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.6715486368145636
Epoch 66, Train Loss: 0.009168211882933975, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.11241819014651018, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.43144850554488345
Epoch 67, Train Loss: 0.008909015543758869, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.10811424099685882, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.6639550957707824
Epoch 68, Train Loss: 0.008737542107701302, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.10846291649200243, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5294996086949577
Epoch 69, Train Loss: 0.00850268374197185, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.10476211203081191, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5858919680069633
Epoch 70, Train Loss: 0.008460335666313767, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.10940395412052861, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.46316715385299184
Epoch 71, Train Loss: 0.008243294968269765, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.10742814193160614, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.471432740614121
Epoch 72, Train Loss: 0.008053969475440681, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.10382811310842917, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.6175049874760665
