
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/train
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/test_small
GPU dostępne: NVIDIA GeForce RTX 3090
Epoch 132, Train Loss: 0.0028381366638414976, Validation Loss: 0.6513210758566856, Validation IOU: 0.6359927612861153
Epoch 133, Train Loss: 0.0028614526850611176, Validation Loss: 0.6670834869146347, Validation IOU: 0.6379519176078479
Epoch 134, Train Loss: 0.002804656419256288, Validation Loss: 0.6761996373534203, Validation IOU: 0.6428238066338468
Epoch 135, Train Loss: 0.002810067885244886, Validation Loss: 0.6625006198883057, Validation IOU: 0.6366870281009829
Epoch 136, Train Loss: 0.0027024745730967778, Validation Loss: 0.6635825335979462, Validation IOU: 0.6378968912140478
Epoch 137, Train Loss: 0.002756121886907042, Validation Loss: 0.6556920930743217, Validation IOU: 0.6474770095438359
Epoch 138, Train Loss: 0.0027895823360369024, Validation Loss: 0.6681952476501465, Validation IOU: 0.6349951590426519
Epoch 139, Train Loss: 0.0026159361991125885, Validation Loss: 0.6852941811084747, Validation IOU: 0.6393966730335022
Epoch 140, Train Loss: 0.0025451672522144187, Validation Loss: 0.6583025455474854, Validation IOU: 0.6419384378582182
Epoch 141, Train Loss: 0.002518858011980127, Validation Loss: 0.6689922213554382, Validation IOU: 0.6361666776327031
Epoch 142, Train Loss: 0.002576036181481969, Validation Loss: 0.6779888719320297, Validation IOU: 0.6261325411036832
Epoch 143, Train Loss: 0.002551837960102906, Validation Loss: 0.6887148916721344, Validation IOU: 0.6394840435863238
Epoch 144, Train Loss: 0.0024520458909036177, Validation Loss: 0.6825678050518036, Validation IOU: 0.6375488173552303
Epoch 145, Train Loss: 0.0024438461356718713, Validation Loss: 0.6826246082782745, Validation IOU: 0.6387640518136768
Epoch 146, Train Loss: 0.002507423383778789, Validation Loss: 0.687844529747963, Validation IOU: 0.6344562738009929
Epoch 147, Train Loss: 0.0024277231972923297, Validation Loss: 0.6705674231052399, Validation IOU: 0.6478438491544349
Epoch 148, Train Loss: 0.0023659814970516083, Validation Loss: 0.6911152675747871, Validation IOU: 0.6429528746339397
Epoch 149, Train Loss: 0.0023868891342620677, Validation Loss: 0.6900185495615005, Validation IOU: 0.6294193510376732
Epoch 150, Train Loss: 0.0024340223769993624, Validation Loss: 0.700628787279129, Validation IOU: 0.6374386037248727
Epoch 151, Train Loss: 0.0023572603159765196, Validation Loss: 0.6916748881340027, Validation IOU: 0.6355440082509318
Epoch 152, Train Loss: 0.002329490907464383, Validation Loss: 0.7008655518293381, Validation IOU: 0.63250774835758
Epoch 153, Train Loss: 0.002344301332616144, Validation Loss: 0.6918755769729614, Validation IOU: 0.6359630298924119
Epoch 154, Train Loss: 0.0022621127346711648, Validation Loss: 0.7036180794239044, Validation IOU: 0.6368278444803288
Epoch 155, Train Loss: 0.0022964121534540835, Validation Loss: 0.6956072151660919, Validation IOU: 0.6407028765578566
Epoch 156, Train Loss: 0.0022776565682660374, Validation Loss: 0.7031288892030716, Validation IOU: 0.6365280972836778
Epoch 157, Train Loss: 0.0022072695913569382, Validation Loss: 0.6974453777074814, Validation IOU: 0.6360297700753474
Epoch 158, Train Loss: 0.0020879631338175386, Validation Loss: 0.7111986428499222, Validation IOU: 0.6397249019879788
Epoch 159, Train Loss: 0.0021388679047554936, Validation Loss: 0.7056212723255157, Validation IOU: 0.6429663082309698
Epoch 160, Train Loss: 0.0021306884874421586, Validation Loss: 0.7196876853704453, Validation IOU: 0.6445297773126233
Epoch 161, Train Loss: 0.00204345820141801, Validation Loss: 0.7137846797704697, Validation IOU: 0.6385063158487352
Epoch 162, Train Loss: 0.002007627701257459, Validation Loss: 0.699272021651268, Validation IOU: 0.6385606913949837
Epoch 163, Train Loss: 0.002001432650205162, Validation Loss: 0.7248250246047974, Validation IOU: 0.6387939803025426
Epoch 164, Train Loss: 0.0019975499130345676, Validation Loss: 0.7187702506780624, Validation IOU: 0.6404814642576044
Epoch 165, Train Loss: 0.0020310921487786495, Validation Loss: 0.7120858579874039, Validation IOU: 0.6362564602426255
Epoch 166, Train Loss: 0.002016966811627046, Validation Loss: 0.708336353302002, Validation IOU: 0.6403392357994945
Epoch 167, Train Loss: 0.0019081609110192705, Validation Loss: 0.7291947230696678, Validation IOU: 0.6413425123229666
Epoch 168, Train Loss: 0.0019941761210146877, Validation Loss: 0.7268326878547668, Validation IOU: 0.6336457289435843
Epoch 169, Train Loss: 0.002031837724239772, Validation Loss: 0.7212170585989952, Validation IOU: 0.6369980845483758
Epoch 170, Train Loss: 0.0019204763520974666, Validation Loss: 0.7161442041397095, Validation IOU: 0.6404960906151996
Epoch 171, Train Loss: 0.0018793111521517858, Validation Loss: 0.7197837233543396, Validation IOU: 0.6309435412965281
Epoch 172, Train Loss: 0.001858682460604339, Validation Loss: 0.721496507525444, Validation IOU: 0.632059140326471
Epoch 173, Train Loss: 0.0018378396966404074, Validation Loss: 0.7277207970619202, Validation IOU: 0.6382267394503598
Epoch 174, Train Loss: 0.001817086638766341, Validation Loss: 0.7136394530534744, Validation IOU: 0.6442163834853805
Epoch 175, Train Loss: 0.00183513042106319, Validation Loss: 0.7189590409398079, Validation IOU: 0.6395653706152657
Epoch 176, Train Loss: 0.0017763213238342563, Validation Loss: 0.7416551262140274, Validation IOU: 0.6314500517355339
Epoch 177, Train Loss: 0.0017411139140474713, Validation Loss: 0.7309218347072601, Validation IOU: 0.6297172736643034
Epoch 178, Train Loss: 0.0017274085823575864, Validation Loss: 0.732786163687706, Validation IOU: 0.6396671805956258
Epoch 179, Train Loss: 0.0016870157916047093, Validation Loss: 0.7302625179290771, Validation IOU: 0.6358850120845068
Epoch 180, Train Loss: 0.001697106506778962, Validation Loss: 0.7346352934837341, Validation IOU: 0.6342398505190409
Epoch 181, Train Loss: 0.0016795721183168804, Validation Loss: 0.7188854813575745, Validation IOU: 0.640128319984682
Epoch 182, Train Loss: 0.0017141667421027604, Validation Loss: 0.7502778619527817, Validation IOU: 0.6341565855998228
Epoch 183, Train Loss: 0.0017215718196692048, Validation Loss: 0.7279795110225677, Validation IOU: 0.6409755645782949
