
/home/nitro/Studia/Praca Dyplomowa/noisy_labels/Dataset/SegSperm/train
/home/nitro/Studia/Praca Dyplomowa/noisy_labels/Dataset/SegSperm/test_small
GPU dostępne: NVIDIA GeForce RTX 3070 Laptop GPU
Epoch 82, Train Loss: 0.5553003735840321, Validation Loss: 0.5611564666032791, Validation IOU: 0.40531971327305777
Epoch 83, Train Loss: 0.5552953576876057, Validation Loss: 0.5609067156910896, Validation IOU: 0.38130476300325616
Epoch 84, Train Loss: 0.5553029622468684, Validation Loss: 0.5607426688075066, Validation IOU: 0.37691481391352094
Epoch 85, Train Loss: 0.5552963237795565, Validation Loss: 0.5604076758027077, Validation IOU: 0.38542782954883564
Epoch 86, Train Loss: 0.5553034750951661, Validation Loss: 0.5608973577618599, Validation IOU: 0.3892373111824645
Epoch 87, Train Loss: 0.5552937905821536, Validation Loss: 0.5606660470366478, Validation IOU: 0.3723370211633911
Epoch 88, Train Loss: 0.5552961023317443, Validation Loss: 0.5604103952646255, Validation IOU: 0.3600784036113389
Epoch 89, Train Loss: 0.5552886488536993, Validation Loss: 0.5606514289975166, Validation IOU: 0.3933810309356777
Epoch 90, Train Loss: 0.5552916162543826, Validation Loss: 0.5604032874107361, Validation IOU: 0.36426196563508617
Epoch 91, Train Loss: 0.5552934325403638, Validation Loss: 0.5610990077257156, Validation IOU: 0.4137945905386038
Epoch 92, Train Loss: 0.5552917540901237, Validation Loss: 0.5610883459448814, Validation IOU: 0.3887265604800418
Epoch 93, Train Loss: 0.5552861355245113, Validation Loss: 0.56023158878088, Validation IOU: 0.3742509448787939
Epoch 94, Train Loss: 0.555311794910166, Validation Loss: 0.5612735897302628, Validation IOU: 0.430453494694356
Epoch 95, Train Loss: 0.5552811577088304, Validation Loss: 0.5614771321415901, Validation IOU: 0.412857755851471
Epoch 96, Train Loss: 0.5552980866697099, Validation Loss: 0.5603452995419502, Validation IOU: 0.3998030696892442
Epoch 97, Train Loss: 0.5552863809797499, Validation Loss: 0.5608391687273979, Validation IOU: 0.4221375389164443
Epoch 98, Train Loss: 0.5553048724929491, Validation Loss: 0.56089086830616, Validation IOU: 0.3847000639057617
Epoch 99, Train Loss: 0.5552938472893503, Validation Loss: 0.5605590343475342, Validation IOU: 0.37300240170968235
Epoch 100, Train Loss: 0.5552998330030177, Validation Loss: 0.5603622421622276, Validation IOU: 0.3694619359831145
