
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/train
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/test_small
GPU dostępne: NVIDIA GeForce RTX 3090
Epoch 70, Train Loss: 0.00758857789915055, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.09700819319994891, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.496618614006625
Epoch 71, Train Loss: 0.007415728480555117, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.093919796938424, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4947437301904023
Epoch 72, Train Loss: 0.007282500877045095, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.09557263868719502, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5106655396404471
Epoch 73, Train Loss: 0.007186996936798096, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.0941042056614408, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5857265300474027
Epoch 74, Train Loss: 0.007129972311668098, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.09658170811006243, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5405013308264058
Epoch 75, Train Loss: 0.006847253208979965, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.09083697815357035, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4767569800113666
Epoch 76, Train Loss: 0.006783721689134836, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.09140234063690947, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4859586911511869
Epoch 77, Train Loss: 0.006635111453942954, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.0900283586604776, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.47584907907896135
Epoch 78, Train Loss: 0.006511620013043284, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.08837169409422495, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4680580510513265
Epoch 79, Train Loss: 0.006436352152377367, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.08940838351534142, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5806190621291965
Epoch 80, Train Loss: 0.006364357867278158, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.08920327479873102, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5300792541214276
Epoch 81, Train Loss: 0.006651950371451676, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.09859470050377053, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4650279074513422
Epoch 82, Train Loss: 0.006269331276416779, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.09126483451699718, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5824783831649131
Epoch 83, Train Loss: 0.006021368619985879, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.08563865443437739, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4719767867481795
Epoch 84, Train Loss: 0.005889741866849363, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.08247035973318945, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4109109082988536
Epoch 85, Train Loss: 0.005917965550906956, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.08724494961322912, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4896039644854894
Epoch 86, Train Loss: 0.0058146419934928415, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.0856956181025533, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4427341494141387
Epoch 87, Train Loss: 0.005717637063935399, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.08282354728281753, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.43011338578063996
Epoch 88, Train Loss: 0.00563729798886925, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.08335196870164044, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.44506833161796744
Epoch 89, Train Loss: 0.005611401912756264, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.0843702396335326, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5718888662970316
Epoch 90, Train Loss: 0.005562470364384353, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.08352641056805443, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.42426165966226065
Epoch 91, Train Loss: 0.005384908872656524, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.08093145649953899, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5904714020787016
Epoch 92, Train Loss: 0.005261479876935482, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.07850035321291036, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.442099443244845
Epoch 93, Train Loss: 0.005152828246355057, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.07616404964591385, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.535994587349713
Epoch 94, Train Loss: 0.005063286074437201, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.07501743702606259, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5409349139424172
Epoch 95, Train Loss: 0.00516176528763026, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.0790679543121853, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.48646382425626467
Epoch 96, Train Loss: 0.005026195244863629, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.07812649116880259, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4287041967053304
Epoch 97, Train Loss: 0.004903990169987082, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.07447160051389859, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.42257756101486355
Epoch 98, Train Loss: 0.00477766701951623, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.07247022622230315, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.43587305706556045
Epoch 99, Train Loss: 0.0047288608038797975, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.07261798559422254, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5790238970100916
Epoch 100, Train Loss: 0.004698642273433506, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.07117220667925292, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4265599489623631
Epoch 101, Train Loss: 0.004678833205252886, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.07336407095528968, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5500874480524491
Epoch 102, Train Loss: 0.0046872627455741165, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.07375882208223628, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5025491742900187
Epoch 103, Train Loss: 0.004653358762152493, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.07588080898454627, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4868375606818711
Epoch 104, Train Loss: 0.004502629162743688, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.0713392273919406, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5773836204627176
Epoch 105, Train Loss: 0.004352775681763887, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.06664095560793173, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4625995452348563
Epoch 106, Train Loss: 0.0042895366670563815, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.06697856431390636, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5302634232522977
Epoch 107, Train Loss: 0.0042410169960930945, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.06536837325760328, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.42946959989461453
Epoch 108, Train Loss: 0.004245511267799884, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.06775904980192478, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4378880340623996
Epoch 109, Train Loss: 0.004140601062681526, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.065276626708258, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5114067263209019
Epoch 110, Train Loss: 0.00424037353368476, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.0698059683432933, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.49725830529935255
Epoch 111, Train Loss: 0.0041241660830564795, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.06579598496590364, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.48758055264009625
Epoch 112, Train Loss: 0.00409576358506456, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.06668815776254451, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.428243743681855
