
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/train
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/test_small
GPU dostępne: NVIDIA GeForce RTX 3090
Epoch 51, Train Loss: 0.011144508704698334, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.2887503180100734, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4684646663902331
Epoch 52, Train Loss: 0.010369637890511917, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.28187450048640667, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.472326569139756
Epoch 53, Train Loss: 0.009788684928531034, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.27201725422731304, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.45238502486780685
Epoch 54, Train Loss: 0.009657636388308473, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.2685635500636383, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4278800882922424
Epoch 55, Train Loss: 0.009294258320652362, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.2619026281271698, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.45465613037693015
Epoch 56, Train Loss: 0.009072527198845314, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.2569371397454088, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.43237678804620927
Epoch 57, Train Loss: 0.009002349721009118, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.2563732398844422, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.46848911056602427
Epoch 58, Train Loss: 0.008986850760670172, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.2554897995098856, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.45237862277100527
Epoch 59, Train Loss: 0.008882553691768812, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.25160763509974615, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.43997949773902356
Epoch 60, Train Loss: 0.008851559722744342, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.2510760839389904, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.44686923660160544
Epoch 61, Train Loss: 0.008646751682843186, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.24768968866024352, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.42494640100764736
Epoch 62, Train Loss: 0.008500157363919748, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.24395686802686642, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4430407587836143
Epoch 63, Train Loss: 0.008547410989801088, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.24459230004996949, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4325070647550821
Epoch 64, Train Loss: 0.008571345611320188, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.24546090570318407, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4447708031856955
Epoch 65, Train Loss: 0.008379498761819882, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.23918736783729092, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.44397699680204733
Epoch 66, Train Loss: 0.008291670153590126, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.23801976719064266, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4565555430116569
Epoch 67, Train Loss: 0.01071938888506136, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.2805203899084381, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4974558416140935
Epoch 68, Train Loss: 0.010371849872171879, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.28035307528291337, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.6029859911454203
Epoch 69, Train Loss: 0.009488971735764708, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.26651670744721234, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4591792393512831
Epoch 70, Train Loss: 0.009014310541614477, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.255306942037118, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4375079722618878
Epoch 71, Train Loss: 0.008928138465206657, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.2540740739138156, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5213735835996999
Epoch 72, Train Loss: 0.008824814091591785, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.2510120781953048, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.44778919868034656
