
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/train
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/test_small
GPU dostępne: NVIDIA GeForce RTX 3090
Epoch 55, Train Loss: 0.02489612055942416, Train Iou: 0.10937996132377555, Validation Loss: 0.10066977888345718, Validation IOU: 0.32473022306376165
Epoch 56, Train Loss: 0.02430153517052531, Train Iou: 0.10862124926796948, Validation Loss: 0.16240400820970535, Validation IOU: 0.3161879533611067
Epoch 57, Train Loss: 0.023384622763842344, Train Iou: 0.10391002130262324, Validation Loss: 0.12403564900159836, Validation IOU: 0.27563347110385017
Epoch 58, Train Loss: 0.02291203970089555, Train Iou: 0.10523894932341951, Validation Loss: 0.10024302452802658, Validation IOU: 0.3178468466694752
Epoch 59, Train Loss: 0.022293387353420256, Train Iou: 0.10171298688405576, Validation Loss: 0.12163624539971352, Validation IOU: 0.3521739953334169
Epoch 60, Train Loss: 0.021689318120479584, Train Iou: 0.10129968106211329, Validation Loss: 0.1280694529414177, Validation IOU: 0.3194213591147262
Epoch 61, Train Loss: 0.02103927880525589, Train Iou: 0.09879178156745964, Validation Loss: 0.11760371923446655, Validation IOU: 0.3332844168769642
Epoch 62, Train Loss: 0.020683973748236894, Train Iou: 0.09971492318451569, Validation Loss: 0.11554354429244995, Validation IOU: 0.3276816381223146
Epoch 63, Train Loss: 0.020266563259065153, Train Iou: 0.09925814546727625, Validation Loss: 0.2638899013400078, Validation IOU: 0.30744133766044346
Epoch 64, Train Loss: 0.019748250488191843, Train Iou: 0.09784097336574189, Validation Loss: 0.09541911631822586, Validation IOU: 0.2985580716481577
Epoch 65, Train Loss: 0.019291002582758666, Train Iou: 0.09663897064123735, Validation Loss: 0.16517917811870575, Validation IOU: 0.32488316172762993
Epoch 66, Train Loss: 0.018880909774452448, Train Iou: 0.0969656019080534, Validation Loss: 0.25819872692227364, Validation IOU: 0.3208185694667991
Epoch 67, Train Loss: 0.01839348142966628, Train Iou: 0.09518509401997806, Validation Loss: 0.2671280726790428, Validation IOU: 0.310745820662218
Epoch 68, Train Loss: 0.017803856544196604, Train Iou: 0.09107457405279924, Validation Loss: 0.12738226726651192, Validation IOU: 0.3373519247330275
Epoch 69, Train Loss: 0.017572173569351434, Train Iou: 0.09259426747664486, Validation Loss: 0.11796539276838303, Validation IOU: 0.3215075825944922
Epoch 70, Train Loss: 0.016989338165149092, Train Iou: 0.08970319607962096, Validation Loss: 0.08127203863114119, Validation IOU: 0.27437214404248417
Epoch 71, Train Loss: 0.01664937734603882, Train Iou: 0.08983148049211076, Validation Loss: 0.16918163746595383, Validation IOU: 0.31320290834079867
Epoch 72, Train Loss: 0.016429913323372604, Train Iou: 0.08797098132916734, Validation Loss: 0.12850770354270935, Validation IOU: 0.277577438477167
Epoch 73, Train Loss: 0.015684993378818034, Train Iou: 0.08298482981475785, Validation Loss: 0.08146840613335371, Validation IOU: 0.24999409367521874
Epoch 74, Train Loss: 0.015581441624090076, Train Iou: 0.08557601841976833, Validation Loss: 0.28353481739759445, Validation IOU: 0.30685512295342326
Epoch 75, Train Loss: 0.015264979237690568, Train Iou: 0.08361672722647144, Validation Loss: 0.10866895318031311, Validation IOU: 0.35113969105244297
