
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/train
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/test_small
GPU dostępne: NVIDIA GeForce RTX 3090
Epoch 71, Train Loss: 0.02585152704268694, Train Iou: 0.3400125871485125, Validation IOU: 0.3781135905206072
Epoch 72, Train Loss: 0.025478769559413195, Train Iou: 0.334432268787445, Validation IOU: 0.3298670291105904
Epoch 73, Train Loss: 0.02513471934944391, Train Iou: 0.3358800919616189, Validation IOU: 0.3842235849998966
Epoch 74, Train Loss: 0.024647760856896638, Train Iou: 0.3346084394150688, Validation IOU: 0.40883129512393185
Epoch 75, Train Loss: 0.02436021389439702, Train Iou: 0.33081910414336185, Validation IOU: 0.36090784223068
Epoch 76, Train Loss: 0.0244354959577322, Train Iou: 0.3356673635243833, Validation IOU: 0.40889295746496024
Epoch 77, Train Loss: 0.023889328725636004, Train Iou: 0.3354750686081607, Validation IOU: 0.41462244207027094
Epoch 78, Train Loss: 0.023406861070543527, Train Iou: 0.33017361735264583, Validation IOU: 0.3573223990132611
Epoch 79, Train Loss: 0.023195334430783986, Train Iou: 0.33263166810258327, Validation IOU: 0.3322297225154789
Epoch 80, Train Loss: 0.023013495188206435, Train Iou: 0.33117358701943944, Validation IOU: 0.5071377855185948
Epoch 81, Train Loss: 0.022678235173225404, Train Iou: 0.33095885718703555, Validation IOU: 0.37472148742335354
Epoch 82, Train Loss: 0.022818115074187517, Train Iou: 0.3340081323619272, Validation IOU: 0.39734980663841696
Epoch 83, Train Loss: 0.022028620168566704, Train Iou: 0.3260128972518645, Validation IOU: 0.39739347391304836
Epoch 84, Train Loss: 0.021865694690495728, Train Iou: 0.3289391029401564, Validation IOU: 0.3704917044100499
Epoch 85, Train Loss: 0.02195804975926876, Train Iou: 0.32818217555902063, Validation IOU: 0.37302236187556126
Epoch 86, Train Loss: 0.021421401482075452, Train Iou: 0.32357321506596326, Validation IOU: 0.3119069248884117
Epoch 87, Train Loss: 0.021451101265847684, Train Iou: 0.3340710242317097, Validation IOU: 0.3231636809274021
Epoch 88, Train Loss: 0.02121805939823389, Train Iou: 0.3249931579359519, Validation IOU: 0.395279912120646
Epoch 89, Train Loss: 0.021132894419133665, Train Iou: 0.3299082096556286, Validation IOU: 0.4098975718170117
Epoch 90, Train Loss: 0.020816235430538656, Train Iou: 0.3291111752420949, Validation IOU: 0.2953597593940636
Model saved
Epoch 91, Train Loss: 0.02040314404293895, Train Iou: 0.3243399997713312, Validation IOU: 0.30033896140895266
Epoch 92, Train Loss: 0.020315153151750566, Train Iou: 0.323021803539062, Validation IOU: 0.34361428945451894
Epoch 93, Train Loss: 0.02041036169975996, Train Iou: 0.32646391202075253, Validation IOU: 0.3959885204393016
Epoch 94, Train Loss: 0.020027775876224042, Train Iou: 0.326540976881221, Validation IOU: 0.3423224653936378
Epoch 95, Train Loss: 0.01983522353693843, Train Iou: 0.32710700059377945, Validation IOU: 0.3495079838818307
Epoch 96, Train Loss: 0.019978323578834535, Train Iou: 0.32454353342661146, Validation IOU: 0.3564137350987917
Epoch 97, Train Loss: 0.019793896377086638, Train Iou: 0.3272024609838785, Validation IOU: 0.37964867356150145
Epoch 98, Train Loss: 0.019276606477797033, Train Iou: 0.3219703621614912, Validation IOU: 0.33154734270605324
Epoch 99, Train Loss: 0.018999134516343476, Train Iou: 0.31856302548607995, Validation IOU: 0.36542542386703936
Epoch 100, Train Loss: 0.019192982092499734, Train Iou: 0.3264570914731104, Validation IOU: 0.31629745388898534
Epoch 101, Train Loss: 0.01905401051044464, Train Iou: 0.3239615328724412, Validation IOU: 0.36805176069054846
Epoch 102, Train Loss: 0.018824783619493246, Train Iou: 0.31837899983308204, Validation IOU: 0.3643483633013783
Epoch 103, Train Loss: 0.018553584348410368, Train Iou: 0.32375757760193663, Validation IOU: 0.4064190590359387
Epoch 104, Train Loss: 0.01860373644158244, Train Iou: 0.3218729244732879, Validation IOU: 0.4100684789095811
Epoch 105, Train Loss: 0.01828865553252399, Train Iou: 0.3200775006275908, Validation IOU: 0.4028294404507206
Epoch 106, Train Loss: 0.018106662575155495, Train Iou: 0.3206469640246069, Validation IOU: 0.4011999030500549
Epoch 107, Train Loss: 0.018139915028586983, Train Iou: 0.31977398542699736, Validation IOU: 0.3772198790632267
Epoch 108, Train Loss: 0.01795544447377324, Train Iou: 0.31789356933888574, Validation IOU: 0.3410500848276604
Epoch 109, Train Loss: 0.017934563104063272, Train Iou: 0.3202359816846311, Validation IOU: 0.39336985073479735
Epoch 110, Train Loss: 0.01775402161292732, Train Iou: 0.3219684302007024, Validation IOU: 0.3102356062899754
Epoch 111, Train Loss: 0.017263911897316575, Train Iou: 0.3181380007226192, Validation IOU: 0.38435659502504604
Epoch 112, Train Loss: 0.01730469330213964, Train Iou: 0.31578703540710135, Validation IOU: 0.39464061497227265
