
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/train
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/test_small
GPU dostępne: NVIDIA GeForce RTX 3090
Epoch 53, Train Loss: 0.012687032949179411, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.1345740080871764, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5459597737717661
Epoch 54, Train Loss: 0.01226625950075686, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.13126186510501103, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5003948879592717
Epoch 55, Train Loss: 0.01196261034347117, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.13100248732093173, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.571891623731702
Epoch 56, Train Loss: 0.011409579077735543, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.12104059232502076, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4956847633283524
Epoch 57, Train Loss: 0.011126272147521377, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.12129898533042627, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5992227284498168
Epoch 58, Train Loss: 0.01078989109955728, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.11761986357548944, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.45119536535068844
Epoch 59, Train Loss: 0.010473485430702567, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.11586197089082417, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4490640816214868
Epoch 60, Train Loss: 0.010235069692134858, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.11607133274512842, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5422283843047265
Epoch 61, Train Loss: 0.009966634446755052, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.11495225056694298, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5513577348831307
Epoch 62, Train Loss: 0.009665951924398541, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.11158682567582276, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4381683541222097
Epoch 63, Train Loss: 0.00942829898558557, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.11029952252189686, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4423871492242878
Epoch 64, Train Loss: 0.009227114683017134, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.1100822522313754, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5475731183899364
Epoch 65, Train Loss: 0.009079069131985307, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.1129292724350015, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.4620611467926065
Epoch 66, Train Loss: 0.008848317712545396, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.11031290643420655, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.44420146486110806
Epoch 67, Train Loss: 0.00854972149245441, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.1044068487931377, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5939019398540896
Epoch 68, Train Loss: 0.008330921083688736, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.1019672798324001, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.47947748922501127
Epoch 69, Train Loss: 0.00807181759737432, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.09845257075364695, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5538231633518272
Epoch 70, Train Loss: 0.0079858451616019, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.1002307644984188, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5765981475694385
Epoch 71, Train Loss: 0.007758645387366414, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.09679900045429003, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5633904019041706
Epoch 72, Train Loss: 0.0075437654973939065, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.09356493091911974, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5141199065052227
Epoch 73, Train Loss: 0.007370705483481288, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.09174703142427512, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.5122039181524636
Epoch 74, Train Loss: 0.007188576855696738, Train Iou Multiclass: 0.0, Train Iou Oneclass: 0.09003801783633476, Validation Iou Multiclass: 0.0, Validation Iou Oneclass: 0.557491218569564
