
/home/nitro/Studia/Praca Dyplomowa/noisy_labels/Dataset/SegSperm/train
/home/nitro/Studia/Praca Dyplomowa/noisy_labels/Dataset/SegSperm/test_small
GPU dostępne: NVIDIA GeForce RTX 3070 Laptop GPU
Epoch 72, Train Loss: 0.5551998470392492, Validation Loss: 0.5676664039492607, Validation IOU: 0.6405185967816072
Epoch 73, Train Loss: 0.5551969367596838, Validation Loss: 0.5674900934100151, Validation IOU: 0.6458749411598015
Epoch 74, Train Loss: 0.5551916807889938, Validation Loss: 0.5679241344332695, Validation IOU: 0.6364917693038302
Epoch 75, Train Loss: 0.5551931212345759, Validation Loss: 0.5679421424865723, Validation IOU: 0.6477287652605161
Epoch 76, Train Loss: 0.5551958576672607, Validation Loss: 0.5678601637482643, Validation IOU: 0.6372036605385993
Epoch 77, Train Loss: 0.555200687299172, Validation Loss: 0.567802220582962, Validation IOU: 0.6456735827791383
Epoch 78, Train Loss: 0.5551927433245711, Validation Loss: 0.5677816569805145, Validation IOU: 0.6341610538622362
Epoch 79, Train Loss: 0.555183800144328, Validation Loss: 0.5684035047888756, Validation IOU: 0.6414401009212967
Epoch 80, Train Loss: 0.5551851557360755, Validation Loss: 0.5686653926968575, Validation IOU: 0.63814690614781
Epoch 81, Train Loss: 0.5551899986134635, Validation Loss: 0.5675455555319786, Validation IOU: 0.6393002744953087
Epoch 82, Train Loss: 0.5551906294292874, Validation Loss: 0.5674568712711334, Validation IOU: 0.6445583794491265
Epoch 83, Train Loss: 0.5551980754567517, Validation Loss: 0.567881777882576, Validation IOU: 0.6364564855400519
Epoch 84, Train Loss: 0.5551920239296224, Validation Loss: 0.5672597661614418, Validation IOU: 0.6469016134680483
Epoch 85, Train Loss: 0.555181969785028, Validation Loss: 0.5676812827587128, Validation IOU: 0.6380542268737291
Epoch 86, Train Loss: 0.5551991172962718, Validation Loss: 0.5676702111959457, Validation IOU: 0.6376444922748681
Epoch 87, Train Loss: 0.5551867704424593, Validation Loss: 0.567427009344101, Validation IOU: 0.6451277292800923
Epoch 88, Train Loss: 0.5552001790040069, Validation Loss: 0.5674462020397186, Validation IOU: 0.6457261647541367
Epoch 89, Train Loss: 0.5551946109367741, Validation Loss: 0.5677216947078705, Validation IOU: 0.6473690132897864
