
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/train
/media/cal314-1/9E044F59044F3415/Marcin/noisy_labels/Dataset/SegSperm/test_small
GPU dostępne: NVIDIA GeForce RTX 3090
Epoch 72, Train Loss: 11.819801425933838, Train Iou: 0.7787215789061588, Validation IOU: 0.8484286787869072
Epoch 73, Train Loss: 11.819952487945557, Train Iou: 0.7773729885782976, Validation IOU: 0.8633804436302863
Epoch 74, Train Loss: 11.818439197540282, Train Iou: 0.7771618137570624, Validation IOU: 0.7951930527347213
Model saved
Epoch 75, Train Loss: 11.818536186218262, Train Iou: 0.7754887488919204, Validation IOU: 0.8372946496071028
Epoch 76, Train Loss: 11.81556134223938, Train Iou: 0.7758364563448363, Validation IOU: 0.841812662065768
Epoch 77, Train Loss: 11.814645099639893, Train Iou: 0.7741736163083608, Validation IOU: 0.881925227908167
Epoch 78, Train Loss: 11.815604734420777, Train Iou: 0.7733024200310398, Validation IOU: 0.8268374251431547
Epoch 79, Train Loss: 11.813969612121582, Train Iou: 0.7738448814076593, Validation IOU: 0.8565753888844346
Epoch 80, Train Loss: 11.81203751564026, Train Iou: 0.7738771248278027, Validation IOU: 0.8762857706242717
Epoch 81, Train Loss: 11.809812259674072, Train Iou: 0.7744160766158347, Validation IOU: 0.8499223085352616
Epoch 82, Train Loss: 11.810066318511963, Train Iou: 0.7737973480584991, Validation IOU: 0.8779216509129859
Epoch 83, Train Loss: 11.810063028335572, Train Iou: 0.7716227507613211, Validation IOU: 0.8539364983498899
Epoch 84, Train Loss: 11.808750009536743, Train Iou: 0.770096602502713, Validation IOU: 0.8708983348443325
Epoch 85, Train Loss: 11.806771850585937, Train Iou: 0.7687329986931063, Validation IOU: 0.8578584448448676
Epoch 86, Train Loss: 11.806077861785889, Train Iou: 0.7669295452844098, Validation IOU: 0.8508296952775187
Epoch 87, Train Loss: 11.806546688079834, Train Iou: 0.7644643787133191, Validation IOU: 0.859789265261631
Epoch 88, Train Loss: 11.805139017105102, Train Iou: 0.7629364401877079, Validation IOU: 0.8696484399601394
Epoch 89, Train Loss: 11.806331443786622, Train Iou: 0.7619915910252341, Validation IOU: 0.8688841258721534
Epoch 90, Train Loss: 11.803680992126464, Train Iou: 0.7598048862506528, Validation IOU: 0.8787230879591703
Epoch 91, Train Loss: 11.802876472473145, Train Iou: 0.7571914853035613, Validation IOU: 0.8769746083568049
Epoch 92, Train Loss: 11.805027675628661, Train Iou: 0.7556122878353074, Validation IOU: 0.8562963600808305
Epoch 93, Train Loss: 11.804451894760131, Train Iou: 0.76198521034105, Validation IOU: 0.8390437265106371
Epoch 94, Train Loss: 11.801729440689087, Train Iou: 0.7579325763094797, Validation IOU: 0.8568172004856376
Epoch 95, Train Loss: 11.801657056808471, Train Iou: 0.752588389368916, Validation IOU: 0.8690760076863882
Epoch 96, Train Loss: 11.803140306472779, Train Iou: 0.7506825190106476, Validation IOU: 0.8514781431778298
Epoch 97, Train Loss: 11.800942420959473, Train Iou: 0.7494128312053292, Validation IOU: 0.8632142008674609
Epoch 98, Train Loss: 11.800399112701417, Train Iou: 0.7463265271577628, Validation IOU: 0.8485485094338174
Epoch 99, Train Loss: 11.800017881393433, Train Iou: 0.7431883021042661, Validation IOU: 0.8000324937349046
Epoch 100, Train Loss: 11.798755645751953, Train Iou: 0.7408024480586407, Validation IOU: 0.8639717612955999
Epoch 101, Train Loss: 11.798740339279174, Train Iou: 0.7384391757103964, Validation IOU: 0.8507002507074426
Epoch 102, Train Loss: 11.799684381484985, Train Iou: 0.7375270988843395, Validation IOU: 0.8326653195645327
Epoch 103, Train Loss: 11.798245191574097, Train Iou: 0.7354761124999489, Validation IOU: 0.8638083386441764
Epoch 104, Train Loss: 11.797712039947509, Train Iou: 0.7325277228891774, Validation IOU: 0.8403710358797166
Epoch 105, Train Loss: 11.799361944198608, Train Iou: 0.7307795904906359, Validation IOU: 0.8402337240689701
Epoch 106, Train Loss: 11.795708227157593, Train Iou: 0.7277608999086203, Validation IOU: 0.8458480172462202
Epoch 107, Train Loss: 11.79835352897644, Train Iou: 0.7267869312472335, Validation IOU: 0.8371728279061218
Epoch 108, Train Loss: 11.796351909637451, Train Iou: 0.7250889418480531, Validation IOU: 0.813625777039472
