
/home/nitro/Studia/Praca Dyplomowa/noisy_labels/Dataset/SegSperm/train
/home/nitro/Studia/Praca Dyplomowa/noisy_labels/Dataset/SegSperm/test_small
GPU dostępne: NVIDIA GeForce RTX 3070 Laptop GPU
Epoch 83, Train Loss: 0.5523449368774891, Validation Loss: 0.567947581410408, Validation IOU: 0.6391025251534768
Epoch 84, Train Loss: 0.5523311839335494, Validation Loss: 0.5678188800811768, Validation IOU: 0.6509693487895936
Epoch 85, Train Loss: 0.552308612399631, Validation Loss: 0.5679740682244301, Validation IOU: 0.6361348325413462
Epoch 86, Train Loss: 0.5522950436506007, Validation Loss: 0.5677992776036263, Validation IOU: 0.6400541449888644
Epoch 87, Train Loss: 0.5522866729233, Validation Loss: 0.5682335123419762, Validation IOU: 0.6382046955945972
Epoch 88, Train Loss: 0.5522682699892256, Validation Loss: 0.5679154917597771, Validation IOU: 0.6396513768703982
Epoch 89, Train Loss: 0.552268861896462, Validation Loss: 0.5677956119179726, Validation IOU: 0.646707543341745
Epoch 90, Train Loss: 0.5522540331714683, Validation Loss: 0.5678490474820137, Validation IOU: 0.6431638399026952
Epoch 91, Train Loss: 0.5522467270493507, Validation Loss: 0.5684197098016739, Validation IOU: 0.648242866996777
Epoch 92, Train Loss: 0.5522396225068305, Validation Loss: 0.5679100975394249, Validation IOU: 0.6445444476277893
Epoch 93, Train Loss: 0.5522340403662788, Validation Loss: 0.5677050873637199, Validation IOU: 0.6499581689637852
Epoch 94, Train Loss: 0.5522247788806757, Validation Loss: 0.5678251311182976, Validation IOU: 0.633057625307512
Epoch 95, Train Loss: 0.5522288911872439, Validation Loss: 0.5681612491607666, Validation IOU: 0.6377373308152803
Epoch 96, Train Loss: 0.5522254539860619, Validation Loss: 0.5683521702885628, Validation IOU: 0.6443167873487465
Epoch 97, Train Loss: 0.5522189682556523, Validation Loss: 0.56877151876688, Validation IOU: 0.6443541758538528
Epoch 98, Train Loss: 0.5522142578330305, Validation Loss: 0.567824549973011, Validation IOU: 0.6496166595640607
Epoch 99, Train Loss: 0.5522159569793277, Validation Loss: 0.5679452493786812, Validation IOU: 0.6398333809430782
Epoch 100, Train Loss: 0.5522227179672983, Validation Loss: 0.5677855238318443, Validation IOU: 0.6437186443003645
